task,window_minutes,model,metric,baseline_mean,full_mean,delta
veracity,30,logit,auc,0.6552546727544739,0.6571009332494897,0.0018462604950157946
veracity,30,rf,auc,0.656003224361241,0.6688852732908286,0.012882048929587553
veracity,30,xgb,auc,0.6356747507523302,0.6438563717868465,0.008181621034516362
reach,30,ols,r2,0.38299362885844507,0.3922702443742236,0.009276615515778519
reach,30,rfreg,r2,0.5556161371987625,0.5713401952470836,0.01572405804832111
reach,30,xgbreg,r2,0.5698991209327101,0.5679109545078829,-0.0019881664248272424
veracity,60,logit,auc,0.6470733909349828,0.645391115493404,-0.00168227544157884
veracity,60,rf,auc,0.6688878759025597,0.7067097383191531,0.037821862416593355
veracity,60,xgb,auc,0.6513364794064463,0.6675435148091896,0.016207035402743264
reach,60,ols,r2,0.4583325038795632,0.47214361473165045,0.01381111085208725
reach,60,rfreg,r2,0.6485399214075932,0.6644806558513832,0.01594073444378996
reach,60,xgbreg,r2,0.6561512865350891,0.6569153556470138,0.0007640691119246146
veracity,180,logit,auc,0.6357252106748319,0.636534165452805,0.0008089547779730477
veracity,180,rf,auc,0.6557140569856837,0.7069188184565998,0.051204761470916016
veracity,180,xgb,auc,0.6417699430171433,0.6701337712650928,0.028363828247949474
reach,180,ols,r2,0.5990490571750978,0.6287233798231011,0.029674322648003293
reach,180,rfreg,r2,0.7821809810724727,0.7883741203391967,0.006193139266724046
reach,180,xgbreg,r2,0.778106534921222,0.7804669568185765,0.0023604218973545255
