task,window_minutes,model,metric,mean,std,N_used
veracity,10,logit,auc,0.6539310268728632,0.017394191518142112,2281
reach,10,ols,r2,0.2778838254548447,0.06686262000908422,2281
veracity,20,logit,auc,0.6565675178205614,0.013942542461990769,2281
reach,20,ols,r2,0.34732069862191584,0.06290073870872007,2281
veracity,30,logit,auc,0.6582897508862823,0.019939863693375564,2281
reach,30,ols,r2,0.3917283152889433,0.05918731875624411,2281
veracity,45,logit,auc,0.6529567374606439,0.02241065147064375,2281
reach,45,ols,r2,0.4429476527605097,0.05239108602081752,2281
veracity,60,logit,auc,0.6467689727801131,0.02685675424775576,2281
reach,60,ols,r2,0.4792862917099634,0.04324674342181834,2281
veracity,90,logit,auc,0.6410791121623363,0.016320639776128264,2281
reach,90,ols,r2,0.5270322655967925,0.04408679670577424,2281
veracity,120,logit,auc,0.6423484721253647,0.018310828133007127,2281
reach,120,ols,r2,0.556963171911233,0.06499378939734861,2281
veracity,180,logit,auc,0.6372035775191554,0.02559631439114504,2281
reach,180,ols,r2,0.626791636644248,0.027185449659178077,2281
