task,K,model,metric,mean,std,N_used,coverage_gtK
veracity,10,LOGIT,roc_auc,0.5357047029338051,0.020743423059342923,1752,0.7590987868284229
veracity,10,RF,roc_auc,0.5504659232113898,0.03708989918173164,1752,0.7590987868284229
veracity,10,GB,roc_auc,0.5730395316021145,0.03185323221473013,1752,0.7590987868284229
reach,10,OLS,r2,0.05169844286491469,0.017011424076654087,1752,0.7590987868284229
reach,10,OLS,mae,0.6084368053933327,0.009503441235997032,1752,0.7590987868284229
reach,10,RFREG,r2,-0.04560745352560902,0.034780718710773845,1752,0.7590987868284229
reach,10,RFREG,mae,0.615076873110254,0.015058154987879801,1752,0.7590987868284229
reach,10,GBREG,r2,0.09584661127024605,0.04170697798996737,1752,0.7590987868284229
reach,10,GBREG,mae,0.5884144221936306,0.010435457760805874,1752,0.7590987868284229
veracity,20,LOGIT,roc_auc,0.518022312373225,0.022049817167269593,1138,0.4930675909878683
veracity,20,RF,roc_auc,0.5892432653642219,0.025382430562390514,1138,0.4930675909878683
veracity,20,GB,roc_auc,0.6033637592968223,0.04802057681203959,1138,0.4930675909878683
reach,20,OLS,r2,0.022014854836903686,0.04108726091227866,1138,0.4930675909878683
reach,20,OLS,mae,0.5030915363929446,0.025758541559305893,1138,0.4930675909878683
reach,20,RFREG,r2,-0.03807836844499801,0.04016275111542838,1138,0.4930675909878683
reach,20,RFREG,mae,0.49974970019551834,0.017638416952605377,1138,0.4930675909878683
reach,20,GBREG,r2,0.06122173037482874,0.04532308728493908,1138,0.4930675909878683
reach,20,GBREG,mae,0.4823996564661332,0.016829612054187083,1138,0.4930675909878683
veracity,50,LOGIT,roc_auc,0.5064420584968531,0.0497800590703384,492,0.21317157712305027
veracity,50,RF,roc_auc,0.5708478341355054,0.05636707442611001,492,0.21317157712305027
veracity,50,GB,roc_auc,0.6180259163272861,0.05335881650328805,492,0.21317157712305027
reach,50,OLS,r2,0.0577186325710598,0.07074251805475756,492,0.21317157712305027
reach,50,OLS,mae,0.3448993344378112,0.024328621780611036,492,0.21317157712305027
reach,50,RFREG,r2,0.09530485997271128,0.12345118713188864,492,0.21317157712305027
reach,50,RFREG,mae,0.3227203698000135,0.02433091738159005,492,0.21317157712305027
reach,50,GBREG,r2,0.09666828921682624,0.16045701035057985,492,0.21317157712305027
reach,50,GBREG,mae,0.32222086484275597,0.031180554354416964,492,0.21317157712305027
