task,window_type,window_value,feature_set,model,metric,mean,std,N_used
veracity,k,10,baseline,logit,auc,0.6582209593894022,0.00791878207445038,2281
reach,k,10,baseline,OLS,r2,0.15783309188130323,0.040461488905082346,2281
reach,k,10,baseline,OLS,mae,0.5627056795816995,0.021455411411271826,2281
veracity,k,10,structure_only,logit,auc,0.5,0.0,2281
reach,k,10,structure_only,OLS,r2,-0.003498378479635722,0.0037843084396240465,2281
reach,k,10,structure_only,OLS,mae,0.6358802700309443,0.0161632621096628,2281
veracity,k,10,full,logit,auc,0.6582209593894022,0.00791878207445038,2281
reach,k,10,full,OLS,r2,0.15783309188130323,0.040461488905082346,2281
reach,k,10,full,OLS,mae,0.5627056795816995,0.021455411411271826,2281
veracity,k,20,baseline,logit,auc,0.6498461502362357,0.013849276387538426,2281
reach,k,20,baseline,OLS,r2,0.19954866634818405,0.03868759047136175,2281
reach,k,20,baseline,OLS,mae,0.5481132771447632,0.017028434606028937,2281
veracity,k,20,structure_only,logit,auc,0.5008746355685132,0.0011661807580174931,2281
reach,k,20,structure_only,OLS,r2,-0.2030077949726535,0.39851519510224737,2281
reach,k,20,structure_only,OLS,mae,132156884982.82242,264313769964.3765,2281
veracity,k,20,full,logit,auc,0.6515338623827751,0.014092005596649308,2281
reach,k,20,full,OLS,r2,0.19996629504759128,0.03807942793355049,2281
reach,k,20,full,OLS,mae,0.5478374805884618,0.0166388728513457,2281
veracity,k,50,baseline,logit,auc,0.6381395786475039,0.020291330607118557,2281
reach,k,50,baseline,OLS,r2,0.25804906110992276,0.028187124148450503,2281
reach,k,50,baseline,OLS,mae,0.5254839604553296,0.01325358427051893,2281
veracity,k,50,structure_only,logit,auc,0.499976146354414,0.0024477496789068803,2281
reach,k,50,structure_only,OLS,r2,-0.004567270464523853,0.03517025831254858,2281
reach,k,50,structure_only,OLS,mae,0.6314250573760225,0.012539448510992637,2281
veracity,k,50,full,logit,auc,0.6415043919822401,0.023301838512062453,2281
reach,k,50,full,OLS,r2,0.2563405035703047,0.03129281817455706,2281
reach,k,50,full,OLS,mae,0.5234541242268259,0.010014086286670375,2281
