task,K,feature_set,model,metric,mean,std,N_used,coverage_gtK
reach,10,baseline_ext,GBREG,mae,0.4195372033763853,0.006913664909750972,1752,0.7590987868284229
reach,20,baseline_ext,GBREG,mae,0.34530562180107427,0.021492862710708074,1138,0.4930675909878683
reach,50,baseline_ext,GBREG,mae,0.24894394584616003,0.026511782213008053,492,0.21317157712305027
reach,10,full_ext,GBREG,mae,0.41052611567774056,0.005206801782301508,1752,0.7590987868284229
reach,20,full_ext,GBREG,mae,0.3400003084413412,0.021924908213911347,1138,0.4930675909878683
reach,50,full_ext,GBREG,mae,0.23612308701110463,0.02544901314135225,492,0.21317157712305027
reach,10,structure_only_ext,GBREG,mae,0.6245180247167157,0.010581365143682084,1752,0.7590987868284229
reach,20,structure_only_ext,GBREG,mae,0.5030467159227827,0.035278193328362295,1138,0.4930675909878683
reach,50,structure_only_ext,GBREG,mae,0.32688721278770316,0.027510996870247485,492,0.21317157712305027
reach,10,baseline_ext,OLS,mae,0.6221295467000126,0.025898266571044756,1752,0.7590987868284229
reach,20,baseline_ext,OLS,mae,0.5229675661309995,0.019824385046075456,1138,0.4930675909878683
reach,50,baseline_ext,OLS,mae,0.3636405656628903,0.03372157326976877,492,0.21317157712305027
reach,10,full_ext,OLS,mae,0.6204017270555,0.02648507528341917,1752,0.7590987868284229
reach,20,full_ext,OLS,mae,0.5164077523738215,0.019680773679237103,1138,0.4930675909878683
reach,50,full_ext,OLS,mae,0.34447962271168825,0.024387622177828343,492,0.21317157712305027
reach,10,structure_only_ext,OLS,mae,0.6254019609016176,0.011605613802172569,1752,0.7590987868284229
reach,20,structure_only_ext,OLS,mae,0.5099023632053286,0.022915589223124717,1138,0.4930675909878683
reach,50,structure_only_ext,OLS,mae,0.3466057949356454,0.022469202134373995,492,0.21317157712305027
reach,10,baseline_ext,GBREG,r2,0.46468728082593314,0.02945008732403157,1752,0.7590987868284229
reach,20,baseline_ext,GBREG,r2,0.4352061849447482,0.06715639147966405,1138,0.4930675909878683
reach,50,baseline_ext,GBREG,r2,0.3463917523171988,0.1275683382384034,492,0.21317157712305027
reach,10,full_ext,GBREG,r2,0.4853494543251303,0.025345004506475092,1752,0.7590987868284229
reach,20,full_ext,GBREG,r2,0.4537018298381158,0.05350625649756429,1138,0.4930675909878683
reach,50,full_ext,GBREG,r2,0.4000525230983696,0.13441159434825722,492,0.21317157712305027
reach,10,structure_only_ext,GBREG,r2,-0.0072599588501314205,0.014379391882307208,1752,0.7590987868284229
reach,20,structure_only_ext,GBREG,r2,0.0005738146196355264,0.0801476479907061,1138,0.4930675909878683
reach,50,structure_only_ext,GBREG,r2,0.08398317806465672,0.08805816379321595,492,0.21317157712305027
reach,10,baseline_ext,OLS,r2,-0.4541567094278526,0.9961504496922543,1752,0.7590987868284229
reach,20,baseline_ext,OLS,r2,-0.8025290115991467,1.6217382483409815,1138,0.4930675909878683
reach,50,baseline_ext,OLS,r2,-0.032885765935407374,0.03844750571258478,492,0.21317157712305027
reach,10,full_ext,OLS,r2,-0.45321348764690994,1.0084452656721303,1752,0.7590987868284229
reach,20,full_ext,OLS,r2,-0.6737815174508425,1.3736307870231426,1138,0.4930675909878683
reach,50,full_ext,OLS,r2,0.06172055005047814,0.073005395988474,492,0.21317157712305027
reach,10,structure_only_ext,OLS,r2,0.0038449503737260525,0.0054179001262625,1752,0.7590987868284229
reach,20,structure_only_ext,OLS,r2,0.00585263037642334,0.01109803663868544,1138,0.4930675909878683
reach,50,structure_only_ext,OLS,r2,0.04820655450036428,0.06738483905211302,492,0.21317157712305027
veracity,10,baseline_ext,GB,roc_auc,0.5865547798066595,0.024800875912062117,1752,0.7590987868284229
veracity,20,baseline_ext,GB,roc_auc,0.6014483470339134,0.0267644052096306,1138,0.4930675909878683
veracity,50,baseline_ext,GB,roc_auc,0.6070714550166605,0.08297160064867125,492,0.21317157712305027
veracity,10,full_ext,GB,roc_auc,0.5774457677807965,0.01876519882786768,1752,0.7590987868284229
veracity,20,full_ext,GB,roc_auc,0.599332941888189,0.032210593852967026,1138,0.4930675909878683
veracity,50,full_ext,GB,roc_auc,0.6226019992595335,0.05388185722005044,492,0.21317157712305027
veracity,10,structure_only_ext,GB,roc_auc,0.535689328362924,0.016684568616109615,1752,0.7590987868284229
veracity,20,structure_only_ext,GB,roc_auc,0.5380739119604285,0.034489888929549024,1138,0.4930675909878683
veracity,50,structure_only_ext,GB,roc_auc,0.5312091817845241,0.05141801437468539,492,0.21317157712305027
veracity,10,baseline_ext,LOGIT,roc_auc,0.5283030580653314,0.02549651932059739,1752,0.7590987868284229
veracity,20,baseline_ext,LOGIT,roc_auc,0.4982162556492652,0.042605557589573566,1138,0.4930675909878683
veracity,50,baseline_ext,LOGIT,roc_auc,0.482496853017401,0.06003341209944565,492,0.21317157712305027
veracity,10,full_ext,LOGIT,roc_auc,0.5393836481961206,0.019942641546151527,1752,0.7590987868284229
veracity,20,full_ext,LOGIT,roc_auc,0.5151971460090388,0.02289962642507807,1138,0.4930675909878683
veracity,50,full_ext,LOGIT,roc_auc,0.5288411699370603,0.056064382322059673,492,0.21317157712305027
veracity,10,structure_only_ext,LOGIT,roc_auc,0.5237412859880795,0.01377577868344099,1752,0.7590987868284229
veracity,20,structure_only_ext,LOGIT,roc_auc,0.5264600903882425,0.014514426479380036,1138,0.4930675909878683
veracity,50,structure_only_ext,LOGIT,roc_auc,0.5523709737134395,0.05722669415424925,492,0.21317157712305027
