window_type,window_value,model_family,bundle,auc_mean,auc_std,delta_auc_mean,delta_auc_std,N_used
time,30,logistic,baseline,0.6491314688315343,0.02024972972872029,0.0,0.0,2233
time,30,rf,baseline,0.6606551434459242,0.030323225201751805,0.0,0.0,2233
time,30,logistic,A,0.6469794975689199,0.020353032507895382,-0.0021519712626142606,0.0031590953434890603,2233
time,30,rf,A,0.6739464149596899,0.018502967944510364,0.013291271513765612,0.02291603395515685,2233
time,30,logistic,B,0.6467749652841736,0.017546762027282885,-0.002356503547360522,0.0046933133725147735,2233
time,30,rf,B,0.6673557213143212,0.009343937145655814,0.006700577868396995,0.026267476699392563,2233
time,30,logistic,C,0.6505760723545821,0.022332242972888314,0.0014446035230479381,0.00442992021434779,2233
time,30,rf,C,0.6651211911732766,0.023133689219968487,0.004466047727352307,0.012431579270981409,2233
time,30,logistic,D,0.6488152003759904,0.018550249710807435,-0.0003162684555437778,0.004147014353118464,2233
time,30,rf,D,0.6747338527949969,0.015224420338032065,0.014078709349072538,0.026007231878363336,2233
time,60,logistic,baseline,0.6438157616942105,0.017471035631524127,0.0,0.0,2251
time,60,rf,baseline,0.6622768693874889,0.03365271010026441,0.0,0.0,2251
time,60,logistic,A,0.6363485828358291,0.02373557488312131,-0.007467178858381396,0.012055718857015615,2251
time,60,rf,A,0.7044657551640896,0.010677140855714966,0.042188885776600536,0.024487249306371205,2251
time,60,logistic,B,0.6415850948672395,0.0167602471885979,-0.002230666826970884,0.0028345334544433733,2251
time,60,rf,B,0.6964564436662303,0.01495743217430952,0.03417957427874137,0.023098672120249682,2251
time,60,logistic,C,0.6413106681997884,0.019461362793641017,-0.002505093494422006,0.007341014238687221,2251
time,60,rf,C,0.7051739980953933,0.013823266447688649,0.04289712870790434,0.02886080542839475,2251
time,60,logistic,D,0.6387528874290977,0.02141432107211102,-0.005062874265112693,0.015966063310392,2251
time,60,rf,D,0.6984885733540079,0.010517547723145908,0.03621170396651911,0.025876145468768288,2251
time,180,logistic,baseline,0.635855676581483,0.021289369491983182,0.0,0.0,2265
time,180,rf,baseline,0.6841694595726854,0.0236982384597411,0.0,0.0,2265
time,180,logistic,A,0.6296135316296607,0.026651188753919322,-0.0062421449518223595,0.012709507868492606,2265
time,180,rf,A,0.7137018223711772,0.016420726408893572,0.029532362798491786,0.010175528302681052,2265
time,180,logistic,B,0.6351068286552157,0.020766358314015035,-0.000748847926267282,0.00692951200102883,2265
time,180,rf,B,0.7009635525764558,0.030436074015347262,0.016794093003770418,0.023544223944520378,2265
time,180,logistic,C,0.6364055299539171,0.018555463495717624,0.0005498533724340504,0.012772124761193571,2265
time,180,rf,C,0.7220098449937159,0.022745522956969445,0.03784038542103059,0.009843602967799724,2265
time,180,logistic,D,0.634389400921659,0.026474080599101748,-0.0014662756598240456,0.017632852086333754,2265
time,180,rf,D,0.7103267700041894,0.023909922526915876,0.026157310431504065,0.006883495640919814,2265
